Id 278,0393,23479,32
Id 279,0394,550,40
Id 280,0395,7074,17
Id 281,0396,74806,51
Id 282,0399,7010,50
Id 283,0400,8201,3
Id 284,0402,5627,2
Id 285,0403,140424,35
Id 286,0405,21708,12
Id 287,0407,3954,3
Id 288,0409,661325,20
Id 289,0410,48741,16
Id 290,0411,119855,18
Id 291,0414,3344,21
Id 292,0415,76493,45
Id 293,0416,11715,12
Id 294,0417,3967,37
Id 295,0418,80839,45
Id 296,0419,2342,33
Id 297,0420,122050,51
Id 298,0422,45627,21
Id 299,0425,308873,52
Id 300,0430,9338,49
Id 301,0436,1891,25
Id 302,0437,112061,45
Id 303,0439,14143,47
Id 304,0440,5394,25
Id 305,0442,39430,24
Id 306,0443,5082,19
Id 307,0444,43112,12
Id 308,0445,3020,34
Id 309,0449,567961,18
Id 310,0450,104306,11
Id 311,0451,85224,25
Id 312,0452,7054,4
Id 313,0454,1352,14
Id 314,0455,5348,1
Id 315,0456,11422,8
Id 316,0457,633523,31
Id 317,0458,178858,21
Id 318,0460,562294,31
Id 319,0461,316666,27
Id 320,0462,34299,23
Id 321,0464,46192,21
Id 322,0465,36041,37
Id 323,0466,78607,25
Id 324,0467,108332,44
Id 325,0468,539,40
Id 326,0469,7928,9
Id 327,0470,20119,7
Id 328,0471,40927,2
Id 329,0472,11027,13
Id 330,0473,44897,24
Id 331,0474,43901,28
Id 332,0475,92369,26
Id 333,0476,16116,23
Id 334,0478,180525,27
Id 335,0479,20990,12
Id 336,0481,4228,19
Id 337,0482,8398,37
Id 338,0483,295890,44
Id 339,0485,34620,33
Id 340,0487,10443,12
Id 341,0488,204740,44
Id 342,0489,23479,21
Id 343,0491,3160,9
Id 344,0494,157745,52
Id 345,0495,40293,21
Id 346,0497,1937,46
Id 347,0498,4276,25
Id 348,0499,2814,21
Id 349,0501,2800,47
Id 350,0505,736600,31
Id 351,0506,7422,1
Id 352,0507,132628,20
Id 353,0509,4767,53
Id 354,0511,97099,45
Id 355,0512,40170,8
Id 356,0514,6716,14
Id 357,0515,20624,13
Id 358,0517,167276,28
Id 359,0518,22869,35
Id 360,0519,45867,31
Id 361,0520,83881,13
Id 362,0521,150822,30
Id 363,0522,30805,33
Id 364,0523,352105,31
Id 365,0524,15918,21
Id 366,0525,177390,20
Id 367,0526,29622,30
Id 368,0527,754,29
Id 369,0529,29795,47
Id 370,0530,565505,18
Id 371,0531,107678,27
Id 372,0536,1509,49
Id 373,0537,96535,50
Id 374,0538,8850,4
Id 375,0540,70569,12
Id 376,0541,86863,13
Id 377,0544,153369,21
Id 378,0545,11637,47
Id 379,0546,32115,7
Id 380,0547,3740,25
Id 381,0551,3022,1
Id 382,0552,55530,30
Id 383,0556,2804,25
Id 384,0560,1744,37
Id 385,0566,28523,6
Id 386,0568,51649,34
Id 387,0569,45580,23
Id 388,0571,16765,8
Id 389,0572,25479,3
Id 390,0574,4794,24
Id 391,0575,13225,8
Id 392,0576,364180,44
Id 393,0577,51046,37
Id 394,0579,36225,37
Id 395,0581,176637,3
Id 396,0582,50572,8
Id 397,0583,279985,31
Id 398,0584,7127,13
Id 399,0585,3705,1
Id 400,0589,76803,26
Id 401,0590,8324,13
Id 402,0591,185134,3
