,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035,9542,20842,359955,1670985,510148,75665,940839,32156,103578,134894,1339013,13421,20969,19563,95564,869726,1333416,1825453,81811,478945,128780,1677158,102662,612847,1326334,1133574,1178334,867145,1588889,608095,1680603,509341,285700,356031,940840,1825588,161857,132845,-1,132845,350054,354942,944945,1343563,350054,354942,944945,254258,353968,206256,864944,478935,1333278,1673010,182745,,,,,,,,,,,,,
0036,9731,8922,375707,1686736,525900,79743,956590,20236,119330,122974,1354764,21260,16761,17494,99643,825526,1349168,1813533,85890,467025,116860,1692910,118414,628599,1342086,1149326,1166414,822897,1604641,623846,1696355,525093,301451,371783,956592,1813668,177609,120925,-1,120925,338134,370694,960697,1299363,338134,370694,960697,252965,369720,216178,820744,467015,1349030,1688761,181553,,,,,,,,,,,,,
0038,256155,267917,117642,1446061,285225,323209,715915,279231,146889,314205,1114089,255136,264098,262692,343109,650427,1108493,1708330,329356,497909,319174,1452235,157295,387924,1101411,908651,1061212,647846,1363966,383172,1455680,284418,36668,113718,715917,1708466,87662,315497,-1,315497,506405,112629,720022,1124264,506405,112629,720022,137135,111655,183769,645645,497899,1108355,1448086,171033,,,,,,,,,,,,,
0039,53150,54413,415902,1726931,566095,31605,996786,55457,159525,158195,1394960,53223,45812,46268,51505,925673,1389363,1848754,37752,502246,152081,1733105,158609,668794,1382281,1189521,1201635,923092,1644836,664042,1736550,565288,341647,411978,996787,1848889,217804,156146,-1,156146,373355,410889,1000892,1399510,373355,410889,1000892,288186,409915,251399,920891,502236,1389225,1728956,185075,,,,,,,,,,,,,
0040,139180,127651,490916,1739700,627567,187698,1041855,117400,248779,88436,1408425,150708,130740,131473,179522,793204,1402192,1781210,193844,434702,84168,1745874,247863,713864,1395060,1255425,1134092,790575,1657605,712629,1749319,626760,430900,486992,1041857,1781346,307057,88602,-1,88602,212917,490025,1045962,1267041,212917,490025,1045962,284211,488822,237147,788422,434693,1402054,1741725,178321,,,,,,,,,,,,,
0041,87062,75533,413563,1711051,550214,135580,980905,65282,196661,43248,1379079,98590,78623,79355,155479,745800,1373483,1733807,141726,387299,37133,1717224,195745,652913,1366401,1173640,1086688,743171,1628955,648161,1720670,549408,363058,409639,980906,1733942,254940,41199,-1,41199,258407,412672,985011,1219637,258407,412672,985011,206858,411470,170072,741018,387289,1373344,1713076,173581,,,,,,,,,,,,,
0042,326716,338479,153005,1437623,276787,393770,707477,337445,217450,296032,1105651,325697,334659,333253,413670,551550,1100055,1609453,399917,412322,301001,1443796,227856,379486,1092973,900213,962335,548969,1355528,379376,1447242,275980,167094,145878,707478,1609589,158223,297324,-1,297324,450053,148912,711584,1025387,450053,148912,711584,102557,147709,142943,546768,412313,1099917,1439648,161145,,,,,,,,,,,,,
0043,13488,25251,359039,1670068,509232,77216,939922,36565,102662,139303,1338096,6969,21431,20026,97115,868810,1332500,1829862,83362,483354,133189,1676242,101746,611931,1325418,1132658,1182743,866229,1587973,607179,1679687,508425,284783,355115,939924,1829997,160941,137254,-1,137254,354463,354026,944029,1342647,354463,354026,944029,253342,353052,205339,864028,483344,1332362,1672093,183186,,,,,,,,,,,,,
0044,515989,527751,181519,1169907,4153,583043,439761,539065,406723,536830,837935,514969,523932,522526,602942,374272,832339,1432175,589189,485279,541799,1176080,417128,111769,825257,632496,785057,371691,1087811,107017,1179525,1910,288034,185805,439762,1432311,347496,538122,-1,538122,671920,187548,443867,848109,671920,187548,443867,343356,186760,383742,369490,485289,832200,1171932,143417,,,,,,,,,,,,,
0045,21934,10405,387910,1698939,538103,70403,968793,5308,131533,106777,1366967,33462,13494,14227,90302,809329,1361371,1797335,76549,450827,100662,1705112,130617,640801,1354289,1161529,1150217,806700,1616843,636049,1708558,537296,313654,383985,968794,1797471,189811,104728,-1,104728,321936,382896,972900,1283166,321936,382896,972900,236767,381922,199981,804546,450818,1361232,1700964,179933,,,,,,,,,,,,,
0046,344335,332806,569416,1695738,671286,392853,986673,322555,453934,221540,1364462,355863,335895,336628,412752,749241,1358229,1689513,398999,343005,222499,1701911,453018,658682,1351097,1187032,1042394,746612,1613642,657420,1705356,671048,544668,565492,986674,1689648,463719,223745,-1,223745,1231,568525,990780,1223078,1231,568525,990780,365858,567323,322320,744459,342995,1358091,1697763,169151,,,,,,,,,,,,,
0047,615775,627537,281305,1072083,103480,682829,341937,638851,506509,612317,740111,614755,623717,622312,702728,264250,734515,1322153,688975,469908,620017,1078256,516914,13945,727433,534672,675034,261669,989987,372,1081701,106281,387820,285590,341938,1322288,447282,613610,-1,613610,656548,287333,346043,738087,656548,287333,346043,443141,286545,483527,259468,469918,734376,1074108,132415,,,,,,,,,,,,,
0049,169800,181563,199557,1510587,349750,236854,780441,192877,60534,270930,1178615,168781,177743,176337,256754,709328,1173018,1767231,243001,454634,275899,1516760,70940,452449,1165936,973176,1120113,706747,1428491,447697,1520205,348943,125302,195633,780442,1767367,807,272222,-1,272222,463130,194544,784547,1183165,463130,194544,784547,93860,193570,140494,704546,454625,1172880,1512612,176923,,,,,,,,,,,,,
0050,81352,82615,444105,1755134,594297,16390,1024988,83659,187728,186398,1423162,81426,74014,74470,16791,953875,1417566,1876956,16961,530448,180283,1761307,186811,696996,1410484,1217723,1229838,951294,1673038,692244,1764752,593491,369849,440180,1024989,1877092,246006,184349,-1,184349,375761,439091,1029094,1427712,375761,439091,1029094,316388,438117,279602,949093,530439,1417427,1757159,187896,,,,,,,,,,,,,
0051,168065,179827,200456,1511485,350648,235119,781339,191141,58799,271828,1179513,167045,176008,174602,255018,710226,1173917,1768129,241265,455532,287765,1517658,69204,453347,1166834,974074,1121011,707645,1429389,448595,1521103,349842,126200,196531,781340,1768265,2156,273120,-1,273120,464028,195442,785445,1184063,464028,195442,785445,94758,194468,141392,705444,455523,1173778,1513510,177013,,,,,,,,,,,,,
0052,103725,92196,406070,1676121,542721,152243,973412,81945,213324,27073,1344845,115253,95286,96018,172142,729625,1338613,1717631,158389,371123,20958,1682295,212408,645420,1331480,1166147,1070513,726996,1594026,640668,1685740,541914,355565,402146,973413,1717767,271603,25024,-1,25024,242232,405179,977518,1203462,242232,405179,977518,199365,403976,152301,724843,371114,1338474,1678146,171963,,,,,,,,,,,,,
